Location;Industry;Subcategory_ID;Hierarchy_Level;Data_Type;Global_Brand_Owner;Unit;Year_text;Year_date;Year_minus_2016;Volume
8;Alcoholic Drinks;13;1;Total Volume;Yuengling Brewery;million litres;2016;31 12 2016;4;294,3299795
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Warsteiner Brauerei Haus Cramer GmbH & Co KG;million litres;2016;31 12 2016;4;379,5017431
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Royal Unibrew A/S;million litres;2016;Saturday, 31 Dec 2016;4;208,3778782
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Olvi Oyj;million litres;2016;31-Dec-16;4;279,6438919
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;CervecerÃ­a Centroamericana SA;million litres;2016;31-12-16;4;144,658509
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Brau Holding International AG;million litres;2016;31-12-16;4;283,9689949
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Boston Beer Co Inc, The;million litres;2016;Sat, 31 December 2016;4;285,4195146
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Bavaria NV;million litres;2016;31-12-16;4;204,2821003
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;BGI Ethiopia Plc;million litres;2016;31-12-16;4;110,0000024
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Ochakovo MPBK ZAO;million litres;2016;31 12 2016;4;252,4954917
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Erdinger Privatbrauerei WeissbrÃ¤u Werner Brombach GmbH;million litres;2016;Sat, 31 December 2016;4;198,2200553
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Karlsberg Brauerei GmbH & Co KG;million litres;2016;31-12-16;4;217,8092267
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Behnoush Iran Co;million litres;2016;31 12 2016;4;194,1844036
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Cisneros, Grupo;million litres;2016;31-12-16;4;317,5936067
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Asia Brewery Inc;million litres;2016;31-12-16;4;478,6144925
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;SABMiller Plc;million litres;2016;31-12-16;4;18146,17543
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Unicer - Bebidas de Portugal SA;million litres;2016;31-Dec-16;4;279,0627358
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;China Resources Enterprise Ltd;million litres;2016;31-Dec-16;4;10619,6407
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Pabst Brewing Co;million litres;2016;31-12-16;4;1101,574601
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Oriental Brewery Co Ltd;million litres;2016;31-Dec-16;4;1080,866152
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Nantong Fuhao Alcohol Industry Co Ltd;million litres;2016;31-12-16;4;364,0999947
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Modelo SA de CV, Grupo;million litres;2016;31-12-16;4;5578,175039
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Chongqing Brewery Co Ltd;million litres;2016;31-Dec-16;4;1140,302459
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Kingway Brewery Holdings Ltd;million litres;2016;31-Dec-16;4;764,690083
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Lanzhou Huanghe Beer Co Ltd;million litres;2016;31-12-16;4;281,5400094
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Private Label;million litres;2016;Saturday, 31 Dec 2016;4;1735,877818
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Others;million litres;2016;31-Dec-16;4;30053,86642
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Anheuser-Busch InBev NV;million litres;2017;31-Dec-17;5;39275,08273
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Anheuser-Busch InBev NV;million litres;2018;31 12 2018;6;41143,35765
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Anheuser-Busch InBev NV;million litres;2019;Tuesday, 31 Dec 2019;7;41080,236
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Anheuser-Busch InBev NV;million litres;2020;31-Dec-20;8;52147,56899
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Anheuser-Busch InBev NV;million litres;2021;Fri, 31 December 2021;9;52545,43307
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Heineken NV;million litres;2017;31 12 2017;5;18383,00048
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Heineken NV;million litres;2018;31-12-18;6;18663,08848
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Heineken NV;million litres;2019;Tuesday, 31 Dec 2019;7;19276,49797
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Heineken NV;million litres;2020;31-Dec-20;8;19636,55725
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Heineken NV;million litres;2021;Friday, 31 Dec 2021;9;21466,10702
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;China Resources Holdings Co Ltd;million litres;2019;31-Dec-19;7;11651,57049
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;China Resources Holdings Co Ltd;million litres;2020;31 12 2020;8;11715,00023
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;China Resources Holdings Co Ltd;million litres;2021;Fri, 31 December 2021;9;11889,36987
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Carlsberg A/S;million litres;2017;31 12 2017;5;12552,80337
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Carlsberg A/S;million litres;2018;31 12 2018;6;12252,60298
;;;;;;;;;;
